objname,RAJ2000,DECJ2000,z_phot_DE,z_spec_DE,z_spec_SRC,r_mag_DE,g_mag_SRC,catalogue,catalogue_objname,catalogue_objid,duplicated,duplicated_objname,,,link to AGEL Measured Redshifts,link to Spectral Observations Tally,z_spec_SRC_Spectral_Observations_Tally,link to SDSS Spectra,z_spec from SDSS (deflector),Photometry Observations Tally,Proposal_ID (from Photometry Observations Tally),AGEL Measured Redshifts,Start date,End date,2d/1d spectra,Last Modified By,Last Modified
AGEL234917-042833A,357.3211,-4.4758,,0.707,,19.64,,Huang+2021,DESI-357.3211-04.4758,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:39pm
AGEL013658+001812A,24.2426,0.3033,,0.809,,20.47,,Huang+2021,DESI-024.2426+00.3033,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:35pm
AGEL014321-100405A,25.8361,-10.068,,0.242,,18.67,,Huang+2020,DESI-025.8361-10.0680,0,,,,,,,,AGEL014321-100405A,0.2422384,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL231935+115016A,349.8938468,11.83776237,,,,20.16,22.04,Jacobs+2019_DECaLS,DCLS2319+1150,6967002,"Huang+2021,Canameras2020","DESI-349.8938+11.8378,PS1J2319+1150",,,AGEL231935+115016A,AGEL231935+115016A,1.99,AGEL231935+115016A,0.5397159,,,,,,"Screenshot from 2022-05-10 12-46-32.png (https://dl.airtable.com/.attachments/166c63cd73f94abc5897f9947b41b3dc/22c3f708/Screenshotfrom2022-05-1012-46-32.png),Screenshot from 2022-05-10 12-46-22.png (https://dl.airtable.com/.attachments/164e4a2b2eed86af7f09d74a12397e16/6b523b5d/Screenshotfrom2022-05-1012-46-22.png)",Tania Barone,25/1/2022 6:39pm
AGEL024745-003129A,41.9391,-0.5247,,0.58,,19.38,,Huang+2020,DESI-041.9391-00.5247,0,,,,,,,,AGEL024745-003129A,0.5799695,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL164312+212149A,250.8015,21.3635,,0.483,,20.5,,Huang+2021,DESI-250.8015+21.3635,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:27pm
AGEL100434+411244A,151.1424,41.2121,,0.593,,19.29,,Huang+2021,DESI-151.1424+41.2121,0,,,,,,,,AGEL100434+411244A,0.6788444,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL165301+265303A,253.2534,26.8843,,0.521,,21.78,,Huang+2021,DESI-253.2534+26.8843,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:28pm
AGEL133310+065405A,203.2912,6.9014,,0.43,,20.65,,Huang+2021,DESI-203.2912+06.9014,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:20pm
AGEL142823+225447A,217.095,22.913,,0.324,,18.15,,Huang+2021,DESI-217.0950+22.9130,0,,,,,,,,AGEL142823+225447A,0.3197502,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL143816+250558A,219.568,25.0994,,0.385,,19.03,,Huang+2021,DESI-219.5680+25.0994,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:24pm
AGEL005840+054559A,14.6685,5.7665,,0.17,,20.87,,Huang+2021,DESI-014.6685+05.7665,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:30pm
AGEL011909-051308A,19.7886,-5.219,,0.661,,20.76,,Huang+2021,DESI-019.7886-05.2190,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 5:33pm
AGEL113313+500840A,173.3049,50.1444,,0.243,,17.33,,Huang+2021,DESI-173.3049+50.1444,0,,,,,,,,AGEL113313+500840A,0.3941835,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL110308-003935A,165.7828,-0.6598,,0.496,,21.19,,Huang+2021,DESI-165.7828-00.6598,0,,,,,,,,AGEL110308-003935A,0.7660301,,,,,,,Tania Barone,25/1/2022 6:39pm
AGEL161726+204239A,244.3589,20.7108,,0.527,,20.83,,Huang+2021,DESI-244.3589+20.7108,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:27pm
AGEL101454+441540A,153.7269,44.261,,0.297,,18.55,,Huang+2021,DESI-153.7269+44.2610,0,,,,,,,,,,,,,,,,Tania Barone,29/10/2021 6:12pm
AGEL015305-094944A,28.271,-9.8289,,0.597,,20.66,,Huang+2020,DESI-028.2710-09.8289,0,,,,,,,,AGEL015305-094944A,0.5972632,,,,,,,Tania Barone,25/1/2022 6:39pm
